Tag,Excerpt,Wiki
javascript,JavaScript is a programming language. Programming questions are off topic here; ask on Stack Overflow instead.,"<p>Programming questions for JavaScript are off topic here; ask on <a href=""http://stackoverflow.com/"">Stack Overflow</a> instead. This tag is for questions about how to handle JavaScript files or interact with them using software such as browsers or text editors.</p>

<h3>ECMAScript, JavaScript &amp; JScript</h3>

<p><a href=""http://en.wikipedia.org/wiki/ECMAScript"" rel=""nofollow noreferrer"">ECMAScript</a> was developed as a standardization of Netscape's <a href=""http://en.wikipedia.org/wiki/JavaScript"" rel=""nofollow noreferrer"">JavaScript</a> and Microsoft's <a href=""http://msdn.microsoft.com/en-us/library/yek4tbz0.aspx"" rel=""nofollow noreferrer"">JScript</a>. The canonical reference is <a href=""http://www.ecma-international.org/publications/standards/Ecma-262.htm"" rel=""nofollow noreferrer"">The ECMA-262 Language Specification</a>. While JavaScript and JScript aim to be compatible with ECMAScript, they also provide additional features not described in the ECMA specifications. <a href=""http://en.wikipedia.org/wiki/ECMAScript#Dialects"" rel=""nofollow noreferrer"">Other implementations</a> of ECMAScript also exist.</p>

<h3>The Basics</h3>

<p>The Mozilla Developer Center offers <a href=""https://developer.mozilla.org/en/JavaScript"" rel=""nofollow noreferrer"">good documentation</a> on JavaScript.</p>

<p>JavaScript is most often used in the browser - see <a href=""http://www.w3.org/DOM/DOMTR.html"" rel=""nofollow noreferrer"">The Document Object Model</a>.</p>

<h3>Learning JavaScript</h3>

<ul>
<li><a href=""http://eloquentjavascript.net/"" rel=""nofollow noreferrer"">Eloquent JavaScript</a>: A Modern Introduction to Programming</li>
<li><a href=""https://developer.mozilla.org/en/JavaScript/Guide"" rel=""nofollow noreferrer"">The MDC JavaScript Guide</a>: A Comprehensive JavaScript Guide From Mozilla</li>
<li><a href=""http://dev.opera.com/articles/view/programming-the-real-basics/"" rel=""nofollow noreferrer"">JavaScript Core Skills</a> from <a href=""http://dev.opera.com/articles/view/1-introduction-to-the-web-standards-cur/"" rel=""nofollow noreferrer"">the Web Standards Curriculum</a></li>
</ul>
"
windows-xp-embedded,,
ramdisk,A RAM disk (or RAM drive) is a block of RAM that a computer is using as though it were a disk drive.,"<p>A RAM disk (or RAM drive) is a block of RAM that a computer is using as though it were a disk drive. It is many orders of magnitude faster than a hard drive or any other external storage devices. <a href=""http://en.wikipedia.org/wiki/RAM_drive"" rel=""nofollow noreferrer"">Learn more at WikiPedia</a></p>
"
rsi,Use this tag for questions relating to Repetitive Strain Injuries. Questions asking for hardware recommendations to deal with RSIs are off-topic and will be closed.,"<h2>Wikipedia</h2>

<ul>
<li><a href=""http://en.wikipedia.org/wiki/Repetitive_strain_injury"" rel=""nofollow noreferrer"">http://en.wikipedia.org/wiki/Repetitive_strain_injury</a></li>
</ul>
"
picasa,Picasa is a photo organising application and photo sharing service developed by Google.,"<p>(For questions about Picasa Web Albums, the web companion to Picasa, please see <a href=""http://webapps.stackexchange.com/questions/tagged/picasa-web-albums"">Web Applications</a>)</p>

<p><a href=""https://picasa.google.com"" rel=""nofollow noreferrer"">Picasa</a> is a downloadable photo organizing and editing tool for Windows or Mac. It offers face tagging and the ability to easily sync albums to Google+ Photos.</p>
"
media-server,,
amarok,"Amarok is a popular music player for Linux, Unix and Windows with extensive features that is part of the KDE project","<p><img src=""https://i.stack.imgur.com/hxyfr.png"" alt=""Amarok logo""></p>

<p><strong>Amarok</strong> is a popular music player for <a href=""/questions/tagged/linux"" class=""post-tag"" title=""show questions tagged &#39;linux&#39;"" rel=""tag"">linux</a>, <a href=""/questions/tagged/unix"" class=""post-tag"" title=""show questions tagged &#39;unix&#39;"" rel=""tag"">unix</a> and <a href=""/questions/tagged/windows"" class=""post-tag"" title=""show questions tagged &#39;windows&#39;"" rel=""tag"">windows</a> with extensive features. It is a free and open source  part of the <a href=""/questions/tagged/kde"" class=""post-tag"" title=""show questions tagged &#39;kde&#39;"" rel=""tag"">kde</a> project.</p>

<h2>Links</h2>

<ul>
<li>Website: <a href=""http://amarok.kde.org"" rel=""nofollow noreferrer"">http://amarok.kde.org</a></li>
<li>Wikipedia: <a href=""https://en.wikipedia.org/wiki/Amarok_(software)"" rel=""nofollow noreferrer"">https://en.wikipedia.org/wiki/Amarok_(software)</a></li>
</ul>

<h2>Similar</h2>

<p><a href=""/questions/tagged/audacious"" class=""post-tag"" title=""show questions tagged &#39;audacious&#39;"" rel=""tag"">audacious</a></p>

<p><a href=""/questions/tagged/vlc"" class=""post-tag"" title=""show questions tagged &#39;vlc&#39;"" rel=""tag"">vlc</a></p>

<p><a href=""/questions/tagged/winamp"" class=""post-tag"" title=""show questions tagged &#39;winamp&#39;"" rel=""tag"">winamp</a></p>

<p><a href=""/questions/tagged/totem"" class=""post-tag"" title=""show questions tagged &#39;totem&#39;"" rel=""tag"">totem</a></p>
"
kubuntu,KDE-based Ubuntu variant,"<p><img src=""https://i.stack.imgur.com/2iZLG.png"" alt=""enter image description here""></p>

<p><a href=""http://www.kubuntu.org/"" rel=""nofollow noreferrer"">Kubuntu</a> is an officially recognized derivative of <a href=""/questions/tagged/ubuntu"" class=""post-tag"" title=""show questions tagged &#39;ubuntu&#39;"" rel=""tag"">ubuntu</a> <a href=""/questions/tagged/linux"" class=""post-tag"" title=""show questions tagged &#39;linux&#39;"" rel=""tag"">linux</a> that uses <a href=""/questions/tagged/kde"" class=""post-tag"" title=""show questions tagged &#39;kde&#39;"" rel=""tag"">kde</a> as its desktop environment.</p>

<p>This tag is for questions specific to Kubuntu. For questions applicable to Ubuntu using other desktop environments, or KDE on other distributions, use <a href=""/questions/tagged/ubuntu"" class=""post-tag"" title=""show questions tagged &#39;ubuntu&#39;"" rel=""tag"">ubuntu</a> or <a href=""/questions/tagged/kde"" class=""post-tag"" title=""show questions tagged &#39;kde&#39;"" rel=""tag"">kde</a> respectively.</p>
"
widescreen,,
task-manager,Use for questions about the Windows Task Manager utility for managing system processes.  Do not use for questions relating to human tasks.,"<p>Task manager is a Windows utility to see which processes are running on the system. It provides detailed information about computer performance related to each process running on a Windows system.</p>
"
spare-parts,,
terminology,Questions regarding computer-specific terms and jargon.  Make sure you show research effort and that your question can be objectively answered.,"<p>Use this tag for questions regarding computer-specific terms and jargon, including those about differences between similar or easily confused terms.</p>

<p>To prevent your question from being closed, please make sure that you show research effort and that your question can be objectively answered, because these types of questions are prone to being closed as not constructive if poorly written.</p>
"
python,"Python is an interpreted, general, high-level programming language.  Programming questions are off topic. Questions about the use of Python should be asked at Stack Overflow (http://www.stackoverflow.com) instead.","<h1>About</h1>

<p>Wikipedia has much more: <a href=""http://en.wikipedia.org/wiki/Python_(programming_language)"" rel=""nofollow noreferrer"">http://en.wikipedia.org/wiki/Python_(programming_language)</a></p>

<p>The official website is here: <a href=""http://www.python.org/"" rel=""nofollow noreferrer"">http://www.python.org/</a></p>

<p>Python's direction and language development is still controlled by its original author, Guido van Rossum.  Guido is now an employee of Google, which uses Python exclusively as its glue/scripting language. He is affectionately known as the language's 'benevolent dictator'.</p>

<p>As of Spring 2011, there are two major development branches of Python: 2.x and 3.x (Python 3000).  Python 3000 was released with many breaking syntactic changes as a result of efforts to promote consistency in the language and to fully integrate Unicode support.  This has led to slow adoption of the new version, as many people are dependent on the extensive libraries available in Python and many libraries have not been upgraded to support Python 3.</p>

<h1>Tag usage</h1>

<p>Use <a href=""/questions/tagged/python"" class=""post-tag"" title=""show questions tagged &#39;python&#39;"" rel=""tag"">python</a> for questions about computer hardware or software related to Python. <strong>Do not</strong> ask programming questions as <a href=""https://superuser.com/help/on-topic"">they are off-topic here</a>. Ask them on <a href=""https://stackoverflow.com/"">Stack Overflow</a> instead.</p>
"
deduplication,Deduplication is the finding and removal of duplicate files.,
format,"The arrangement of data for storage or display, also used as a term to empty a partition.","<p>1)To divide (a disk) into marked sectors so that it may store data.<br>
2)To determine the arrangement of (data) for storage or display.</p>
"
yum,"Software package manager that installs, updates, and removes packages on RPM-based systems. yum stands for Yellowdog Updater, Modified.","<p>Yum is an acronym for ""Yellow Dog Updater Modified"". It is a tool used to manage the installation and removal of packages on Linux distributions that use the RPM system. It is a package manager similar to files that APT automatically handles dependencies computing solving them and what should be done to treat them. </p>

<ul>
<li>Yum downloads the package specified in any repository. </li>
<li>It has a simple configuration file. </li>
<li>Makes an efficient calculation of the dependencies.</li>
</ul>
"
expansion-cards,,
file-format,A file format is a particular way that information is encoded for storage in a computer file.,
hardware-rec,"Hardware recommendation posts should discuss how to make hardware decisions for oneself. Direct shopping recommendations are off-topic and will be closed, so be very careful posting hardware recommendations.  For specific hardware shopping recommendations, please post in the Hardware Recommendations StackExchange.","<p>A good hardware recommendation post is in the general form of ""how can I figure out what hardware  will fit my needs"" manner. Simply asking for a list of products is a <a href=""https://blog.stackoverflow.com/2010/11/qa-is-hard-lets-go-shopping/"">shopping recommendation</a> and will be <a href=""https://superuser.com/faq#questions"">closed as off-topic</a>.</p>

<p><strong>Be very careful</strong> when posting hardware recommendations. Make sure that your question will be helpful to more than just yourself (otherwise it's too localized), and that it can generate useful discussion of how to figure out the right hardware for a given situation.</p>

<p>For more information about what constitutes a good hardware recommendation post, see <a href=""http://meta.superuser.com/questions/2991/what-is-the-difference-between-shopping-recommendations-and-hardware-rec-tagged-q"">http://meta.superuser.com/questions/2991/what-is-the-difference-between-shopping-recommendations-and-hardware-rec-tagged-q</a> on Super User Meta.</p>

<p>For specific hardware shopping recommendations, please post in the <a href=""https://hardwarerecs.stackexchange.com/"">Hardware Recommendations StackExchange</a>.</p>
"
